id,nombre,codigo_centro,titularidad,tipo_centro,etapas,lat,lng,zona,direccion,cp,municipio,provincia,telefono,fax,email,web,horario,jornada_partida
17,A.E.P.A. Zalamea,6007247,Centro Público,Adultos,ESO,38.64966,-5.66398,3,"Camino Ancho, 78",06430,Zalamea de la Serena,Badajoz,924020758,924020721,aepa.zalamea@edu.juntaex.es,https://aepazalamea.educarex.es,Mañana,No
18,A.E.P.A. Alcuéscar,10500321,Centro Público,Adultos,ESO,39.18028,-6.23048,5,"Avda. De la Constitución, 33.-1º",10160,Alcuéscar,Cáceres,927023552,0,aepa.alcuescar@edu.juntaex.es,https://,Mañana,No
19,A.E.P.A. Arroyo de la Luz,10012171,Centro Público,Adultos,ESO,39.48927,-6.58787,5,C/ San Marcos Nº 46,10900,Arroyo de la Luz,Cáceres,927270347,927271332,aepa.arroyodelaluz@edu.juntaex.es,https://aepaarroyodelaluz.educarex.es,Mañana,No
20,A.E.P.A. Brozas,10008153,Centro Público,Adultos,ESO,39.61240,-6.77962,5,Ramón y Cajal nº 1 (Centro Cultural),10950,Brozas,Cáceres,927018552,924018553,aepa.brozas@edu.juntaex.es,https://,Mañana,No
21,A.E.P.A. Caminomorisco,10008098,Centro Público,Adultos,ESO,40.32616,-6.28940,6,"Avenida de las Hurdes, S / N",10008,Caminomorisco,Cáceres,0,0,aepa.caminomorisco@edu.juntaex.es,https://,Mañana,No
22,A.E.P.A. Casar de Cáceres,10008025,Centro Público,Adultos,ESO,39.55673,-6.41727,5,Barriada de la Diputación,10190,Casar de Cáceres,Cáceres,927006830,,aepa.casardecaceres@edu.juntaex.es,https://,Mañana,No
23,A.E.P.A. Garrovillas,10600315,Centro Público,Adultos,ESO,39.71128,-6.54898,5,"Ramón y Cajal, 32",10940,Garrovillas de Alconétar,Cáceres,927023552,0,aepa.garrovillas@edu.juntaex.es,https://,Mañana,No
24,A.E.P.A. Guadalupe,10008104,Centro Público,Adultos,ESO,39.45296,-5.32554,8,C/ Viña Mayor s/n,10140,Guadalupe,Cáceres,927022526,927022527,aepa.guadalupe@edu.juntaex.es,https://,Mañana,No
25,A.E.P.A. Hervás,10008062,Centro Público,Adultos,ESO,40.27547,-5.86042,7,"Plaza González Fiori, 5",10700,Hervás,Cáceres,927014855,927014855,aepa.hervas@edu.juntaex.es,https://,Mañana,No
26,A.E.P.A. Logrosán,10008037,Centro Público,Adultos,ESO,39.33586,-5.49660,8,"Avda.Hernández Serrano,S / N",10120,Logrosán,Cáceres,927022540,0,aepa.logrosan@edu.juntaex.es,https://,Mañana,No
27,A.E.P.A. Losar de la Vera,10008086,Centro Público,Adultos,ESO,40.11964,-5.60860,7,C. L-16,10460,Losar de la Vera,Cáceres,0,0,aepa.losardelavera@edu.juntaex.es,https://aepalosarvera.educarex.es,Mañana,No
28,A.E.P.A. Madrigalejo,10008116,Centro Público,Adultos,ESO,39.13692,-5.62638,8,"Rosa Vellon, S / N",10110,Madrigalejo,Cáceres,927029528,927029529,aepa.madrigalejo@edu.juntaex.es,https://aepamadrigalejo.educarex.es,Mañana,No
29,A.E.P.A. Madroñera,10008128,Centro Público,Adultos,ESO,39.42333,-5.75923,8,"Real, S / N-Casa de la Cultura",10210,Madroñera,Cáceres,0,0,aepa.madronera@edu.juntaex.es,https://,Mañana,No
30,A.E.P.A. Malpartida de Cáceres,10012181,Centro Público,Adultos,ESO,39.44553,-6.51020,5,"Antonio Plata Mogollón, S / N (Casa de Cultura)",10910,Malpartida de Cáceres,Cáceres,0,0,aepa.malpartidadecaceres@edu.juntaex.es,https://,Mañana,No
31,A.E.P.A. Malpartida de Plasencia,10008074,Centro Público,Adultos,ESO,39.97998,-6.04751,7,Plazuela de Gabriel y Galán-Casa Cultura,10680,Malpartida de Plasencia,Cáceres,927017916,927017917,aepa.malpartidadeplasencia@edu.juntaex.es,https://,Mañana,No
32,A.E.P.A. Montehermoso,10008050,Centro Público,Adultos,ESO,40.08920,-6.35314,7,"San Sebastián, S / N",10810,Montehermoso,Cáceres,0,0,aepa.montehermoso@edu.juntaex.es,https://aepamontehermoso.educarex.es,Mañana,No
33,A.E.P.A. Trujillo,10008131,Centro Público,Adultos,ESO,39.45604,-5.88672,8,"Avda. Ramón y Cajal, S / N",10200,Trujillo,Cáceres,927027666,927027667,aepa.trujillo@edu.juntaex.es,https://aepatrujillo.educarex.es,Mañana,No
34,A.E.P.A. Valencia de Alcántara,10008141,Centro Público,Adultos,ESO,39.41080,-7.24671,5,Calle Cristóbal Flores s/n,10500,Valencia de Alcántara,Cáceres,927028535,927028536,aepa.valenciadealcantara@edu.juntaex.es,https://,Mañana,No
35,C.E.E. Los Ángeles,6000976,Centro Público,Educación Especial,Infantil / Primaria,38.93952,-6.93098,1,"Ctra. De Badajoz-Cáceres Km 7,5 (Apdo. 177)",06080,Badajoz,Badajoz,924013432,924013435,cee.losangeles@edu.juntaex.es,https://ceelosangeles.educarex.es,Mañana,No
36,C.E.E. Ntra.Sra. De Aguasantas,6006012,Centro Público,Educación Especial,Infantil / Primaria,38.32535,-6.78289,4,"Ctra. De Jerez-Oliva, S / N",06380,Jerez de los Caballeros,Badajoz,924025700,924025702,cee.ntrasradeaguasantas@edu.juntaex.es,https://ceensraaguasant.educarex.es,Mañana,No
37,C.E.E. Casa de la Madre,6003175,Centro Público,Educación Especial,Infantil / Primaria,38.89738,-6.33052,2,"Pablo Neruda, S / N",06800,Mérida,Badajoz,924009956,924009957,cee.casadelamadre@edu.juntaex.es,https://ceecasamadre.educarex.es,Mañana,No
38,C.E.E. Emérita Augusta,6005858,Centro Público,Educación Especial,Infantil / Primaria,38.91001,-6.33484,2,"Tomás Romero de Castilla, S / N",06800,Mérida,Badajoz,924009944,924009941,cee.emeritaaugusta@edu.juntaex.es,https://ceeemeritaaugusta.educarex.es,Mañana,No
39,C.E.E. Antonio Tomillo,6005101,Centro Público,Educación Especial,Infantil / Primaria,38.42625,-6.40952,4,"Ctra. De los Santos, S / N",06300,Zafra,Badajoz,924029984,924029985,cee.antoniotomillo@edu.juntaex.es,https://ceeantoniotomi.educarex.es,Mañana,No
40,C.E.E. Proa,10007367,Centro Público,Educación Especial,Infantil / Primaria,39.44936,-6.39174,5,"Avda. De la Constitución, 36",10195,Cáceres,Cáceres,927006804,927006808,cee.proa@edu.juntaex.es,https://ceeproacc.educarex.es,Mañana,No
41,C.E.E. Ponce de León,10007690,Centro Público,Educación Especial,Infantil / Primaria,40.04178,-6.08923,7,"Pedro y Francisco González, 4",10600,Plasencia,Cáceres,927017770,927017771,cee.poncedeleon@edu.juntaex.es,https://,Mañana,No
42,C.E.I.P. Ntra. Sra. De la Jara,6005721,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,39.07469,-5.57126,3,"Ctra. De Orellana, S / N",06730,Acedera,Badajoz,924021786,924021787,cp.ntrasradelajara@edu.juntaex.es,https://cpnsdelajara.educarex.es,Mañana,No
43,C.E.I.P. Ntra. Sra. De la Soledad,6000034,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.64577,-6.48127,2,"Ctra. De Almendralejo, S / N",06207,Aceuchal,Badajoz,924017710,924017711,cp.ntrasrasoledad@edu.juntaex.es,https://cpnssoledadace.educarex.es,Mañana,No
44,C.E.I.P. Santiago Ramón y Cajal,6000046,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.25620,-5.86420,4,Extramuros S / N,06940,Ahillones,Badajoz,924026500,924026501,cp.santiagoramonycajal@edu.juntaex.es,https://cpsramoncajalahi.educarex.es,Mañana,No
45,C.E.I.P. Cervantes,6000058,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.78644,-6.24505,2,"Mesilla, S / N",06840,Alange,Badajoz,924024508,924024510,cp.cervantesalange@edu.juntaex.es,https://cpcervantesalan.educarex.es,Mañana,No
46,C.E.I.P. José Virel,6000061,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.71673,-6.82597,1,"Francisco Meléndez, 1",06170,"Albuera, La",Badajoz,924001832,924001833,cp.josevirel@edu.juntaex.es,https://cpjosevirel.educarex.es,Mañana,No
47,C.E.I.P. Ángel Santos Pocostales,6000071,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,39.22323,-7.00670,1,Pozo Blanco S/N,06510,Alburquerque,Badajoz,924015582,924015583,cp.angelsantos@edu.juntaex.es,https://cppedromarquez.educarex.es,Mañana,No
48,C.E.I.P. Virgen de la Luz,6000113,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.51664,-7.06822,1,"Ctra.Villanueva del Fresno, S / N",06131,Alconchel,Badajoz,924016420,924016421,cp.virgendelaluzalconc@edu.juntaex.es,https://cpvdelaluzalconc.educarex.es,Mañana,No
49,C.E.I.P. Pedro Prieto Gonzálvez,6000137,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,39.04382,-6.33073,2,C/ San Andrés nº 2,06894,Aljucén,Badajoz,924004920,924004921,cp.pedroprietogonzalvez@edu.juntaex.es,https://cpppgonzalvez.educarex.es,Mañana,No
50,C.E.I.P. José María Carande,6000149,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.61411,-6.82291,1,"Plaza de España, 4",06171,Almendral,Badajoz,924013452,924013453,cp.josemariacarande@edu.juntaex.es,https://cpjosemcarande.educarex.es,Mañana,No
51,C.E.I.P. San Roque,6000198,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.68116,-6.41317,2,"Panamá, 2",06200,Almendralejo,Badajoz,924017750,924017751,cp.sanroque@edu.juntaex.es,https://cpsanroque.educarex.es,Mañana,No
52,C.E.I.P. Francisco Montero Espinosa,6000162,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.67698,-6.39958,2,"Manuel E.Vivas Santillán,2",06200,Almendralejo,Badajoz,924017766,924017767,cp.franciscomonteroespinosa@edu.juntaex.es,https://cpfmespinosa.educarex.es,Mañana,No
53,C.E.I.P. José de Espronceda,6000319,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.67648,-6.39823,2,"Manuel E. Vivas Santillán,1",06200,Almendralejo,Badajoz,924017770,924017772,cp.josedeespronceda@edu.juntaex.es,https://cpjoseespronceda.educarex.es,Mañana,No
54,C.E.I.P. Ortega y Gasset,6000216,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.67862,-6.42074,2,Puebla de la Reina s/n,06200,Almendralejo,Badajoz,924017744,924017745,cp.ortegaygasset@edu.juntaex.es,https://cportegaygasset.educarex.es,Mañana,No
55,C.E.I.P. San Francisco,6000186,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.68787,-6.40783,2,"San Pablo, 2",06200,Almendralejo,Badajoz,924017762,924017763,cp.sanfranciscoalmend@edu.juntaex.es,https://cpsfranciscoalm.educarex.es,Mañana,No
56,C.E.I.P. Antonio Machado,6000174,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.68529,-6.40266,2,"San Blas, 1",06200,Almendralejo,Badajoz,924017728,924017729,cp.antoniomachadoalmend@edu.juntaex.es,https://cpamachadoalm.educarex.es,Mañana,No
57,C.E.I.P. Príncipe de Asturias,6005573,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.80910,-6.78923,1,"Ronda Saliente, S / N",06170,Alvarado-La Risca,Badajoz,924013485,924013484,cp.principedeasturiasalvara@edu.juntaex.es,https://cpppeasturiasalv.educarex.es,Mañana,No
58,C.E.I.P. Ntra. Sra. De la Soledad,6000320,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.85664,-6.45435,2,"García Lorca, 5",06850,Arroyo de San Serván,Badajoz,924009974,924009976,cp.lasoledad@edu.juntaex.es,https://cpnssoledadarr.educarex.es,Mañana,No
59,C.E.I.P. General Navarro,6000472,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87587,-6.97339,1,"Correos, 1",06001,Badajoz,Badajoz,924001944,924001945,cp.generalnavarro@edu.juntaex.es,https://cpgralnavarrobad.educarex.es,Mañana,No
60,C.E.I.P. San Fernando,6005640,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.88766,-6.98754,1,"Gabriel y Galán, 2",06006,Badajoz,Badajoz,924013464,924013465,cp.sanfernando@edu.juntaex.es,https://cpsanfernandoba.educarex.es,Mañana,No
61,C.E.I.P. Lope de Vega,6000484,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87621,-6.96708,1,"Ronda del Pilar, 26 A",06002,Badajoz,Badajoz,924001972,924001973,cp.lopedevega@edu.juntaex.es,https://cplopedevega.educarex.es,Mañana,No
62,C.E.I.P. Arias Montano,6000460,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87492,-6.97722,1,"Adelardo Covarsí, 6",06005,Badajoz,Badajoz,924001940,924001942,cp.ariasmontano@edu.juntaex.es,https://cpariasmontanoba.educarex.es,Mañana,No
63,C.E.I.P. Ntra. Sra. De Bótoa,6000496,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87428,-6.96558,1,"Antonio Cuéllar Gragera, 6",06003,Badajoz,Badajoz,924013714,924013713,cp.ntrasradebotoa@edu.juntaex.es,https://cpnsdebotoa.educarex.es,Mañana,No
64,C.E.I.P. Guadiana,6001154,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87631,-6.98293,1,"Ponferrada, 1",06011,Badajoz,Badajoz,924013416,924013417,cp.guadiana@edu.juntaex.es,https://cpguadiana.educarex.es,Mañana,No
65,C.E.I.P. San Pedro de Alcántara,6000538,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.88162,-6.97201,1,"José Lanot Moreno, S / N",06001,Badajoz,Badajoz,924013524,924013525,cp.sanpedrodealcantarabadajo@edu.juntaex.es,https://cpspalcantarabad.educarex.es,Mañana,No
66,C.E.I.P. Los Glacis,6006644,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87265,-6.98395,1,"Avda.Tomás Romero de Castilla, 5",06011,Badajoz,Badajoz,924013480,924013481,cp.losglacis@edu.juntaex.es,https://cplosglacis.educarex.es,Mañana,No
67,C.E.I.P. San Benito Abad,6003941,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.51940,-5.58764,4,"Manuel Navarro, 1",06919,Peraleda del Zaucejo,Badajoz,924019908,924019909,cp.sanbenitoabad@edu.juntaex.es,https://cpsanantonioabad.educarex.es,Mañana,No
68,C.E.I.P. Cerro de Reyes,6005731,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.86798,-6.95982,1,"F. García Lorca, 47",06010,Badajoz,Badajoz,924013468,924013469,cp.cerrodereyes@edu.juntaex.es,https://cpcerrodereyes.educarex.es,Mañana,No
69,C.E.I.P. Ntra. Sra. De Fátima,6000575,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.89196,-6.97572,1,"Avda. Del Sol, S / N",06007,Badajoz,Badajoz,924013616,924013617,cp.ntrasradefatimabadajo@edu.juntaex.es,https://cpnsdefatimabad.educarex.es,Mañana,No
70,C.E.I.P. Juan Vázquez,6005469,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.88804,-6.98565,1,"Avda. De Augusto Vázquez, 9",06006,Badajoz,Badajoz,924001966,924001968,cp.juanvazquez@edu.juntaex.es,https://cpjuanvazquez.educarex.es,Mañana,No
71,C.E.I.P. Santa Engracia,6000541,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.89557,-6.98113,1,"Calle de Viriato, S / N",06007,Badajoz,Badajoz,924013594,924013595,cp.santaengracia@edu.juntaex.es,https://cpsantaengracia.educarex.es,Mañana,No
72,C.E.I.P. Luis de Morales,6000599,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87520,-6.98003,1,"Juan Nogré Rauch, S / N",06005,Badajoz,Badajoz,924013426,924013428,cp.luisdemorales@edu.juntaex.es,https://cpluisdemorales.educarex.es,Mañana,No
73,C.E.I.P. Enrique Iglesias García,6001208,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87483,-6.95800,1,"Virgilio Viniegras, S / N",06009,Badajoz,Badajoz,924013604,924013605,cp.enriqueiglesiasgarcia@edu.juntaex.es,https://cpeiglesiasgcia.educarex.es,Mañana,No
74,C.E.I.P. Ntra. Sra. De la Soledad,6000502,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.88056,-6.95777,1,"Porvenir, S / N",06008,Badajoz,Badajoz,924013632,924013633,cp.ntrasradelasoledadbadajo@edu.juntaex.es,https://cpnssoledadbad.educarex.es,Mañana,No
75,C.E.I.P. Juventud,6001178,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87678,-6.96319,1,"Parque de la Legión, S / N",06003,Badajoz,Badajoz,924013441,924013443,cp.juventud@edu.juntaex.es,https://cpjuventud.educarex.es,Mañana,No
76,C.E.I.P. Las Vaguadas,6011159,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.85113,-6.97781,1,"Pantano de la Serena, s/n",06010,Badajoz,Badajoz,924267780,924267780,ceip.lasvaguadas@edu.juntaex.es,https://,Mañana,No
77,C.E.I.P. Santa Marina,6000691,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87510,-6.98848,1,"Avda. Del Guadiana, 16",06011,Badajoz,Badajoz,924001958,924001959,cp.santamarina@edu.juntaex.es,https://cpsantamarinaba.educarex.es,Mañana,No
78,C.E.I.P. Luis Vives,6000587,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87685,-6.95282,1,C/ Ricardo Casas Lozano nº 6,06008,Badajoz,Badajoz,924013520,924013521,cp.luisvives@edu.juntaex.es,https://cpluisvives.educarex.es,Mañana,No
79,C.E.I.P. Mirador de Cerro Gordo,6012814,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.88781,-6.90469,1,"Batalla de Torres Vedras, s/n",06009,Badajoz,Badajoz,924487855,0,cp.n28@edu.juntaex.es,https://https://cpn28.educarex.es/,Mañana,No
80,C.E.I.P. Enrique Segura Covarsí,6006981,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.86422,-6.98693,1,"Arturo Barea, 6",06011,Badajoz,Badajoz,924013528,924013529,cp.enriqueseguracovarsi@edu.juntaex.es,https://cpeseguracovarsi.educarex.es,Mañana,No
81,C.E.I.P. San José de Calasanz,6000526,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.86836,-6.96958,1,"Bambú, nº4",06010,Badajoz,Badajoz,924013456,924013457,cp.sjcalasanzba@edu.juntaex.es,https://cpsjcalasanzbad.educarex.es,Mañana,No
82,C.E.I.P. Puente Real,6007685,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.88168,-6.99246,1,Ramón Fernández Moreno S / N,06006,Badajoz,Badajoz,924013710,924013711,cp.puentereal@edu.juntaex.es,https://cppuentereal.educarex.es,Mañana,No
83,C.E.I.P. Leopoldo Pastor Sito,6000988,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87122,-6.96367,1,"José María Giles Ontiveros, 6",06010,Badajoz,Badajoz,924001950,924001951,cp.leopoldopastorsito@edu.juntaex.es,https://cplpastorsito.educarex.es,Mañana,No
84,C.E.I.P. Ciudad de Badajoz,6011184,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.85928,-6.98562,1,Cerezo nª 1,06011,Badajoz,Badajoz,924203933,924229468,cp.cdebadajoz@edu.juntaex.es,https://,Mañana,No
85,C.E.I.P. Santo Tomás de Aquino,6000551,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.89044,-6.98204,1,"Figueira Da Foz, 3",06007,Badajoz,Badajoz,924001962,924001963,cp.santotomasdeaquino@edu.juntaex.es,https://cpstotomasaquino.educarex.es,Mañana,No
86,C.E.I.P. Manuel Pacheco,6006462,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87091,-6.95127,1,"Ángel Galván, 1",06009,Badajoz,Badajoz,924001955,924011957,cp.manuelpacheco@edu.juntaex.es,https://cpmanuelpacheco.educarex.es,Mañana,No
87,C.E.I.P. Vegas Bajas,6001221,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.90654,-6.81547,1,"Ronda del Guadiana, S / N",06195,Balboa,Badajoz,924013586,924013587,cp.vegasbajas@edu.juntaex.es,https://cpvegasbajas.educarex.es,Mañana,No
88,C.E.I.P. Torre Águila,6003564,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.87579,-6.58609,2,"Plza. De España, 10",06499,Barbaño,Badajoz,924001836,924001837,cp.torreaguila@edu.juntaex.es,https://cptorreaguila.educarex.es,Mañana,No
89,C.E.I.P. Hernando de Soto,6001439,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.51952,-6.85081,1,"Ctra. De Badajoz, 9",06160,Barcarrota,Badajoz,924025722,924025723,cp.hernandodesoto@edu.juntaex.es,https://cphernandodesoto.educarex.es,Mañana,No
90,C.E.I.P. Jacobo Rodríguez Pereira,6001518,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.28350,-5.83444,4,"Calera, 2",06930,Berlanga,Badajoz,924894487,924894488,cp.jacoborodriguezpereira@edu.juntaex.es,https://cpjrdguezpereira.educarex.es,Mañana,No
91,C.E.I.P. Virgen de los Milagros,6001521,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.29554,-6.21052,4,"Orgullo, S / N",06250,Bienvenida,Badajoz,924023600,924023601,cp.virgendelosmilagros@edu.juntaex.es,https://cpvdelosmilagros.educarex.es,Mañana,No
92,C.E.I.P. Ntra. Sra. De las Flores,6001531,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.14618,-6.56028,4,"El Cura, 9",06394,Bodonal de la Sierra,Badajoz,924022404,924022405,cp.ntrasradelasflores@edu.juntaex.es,https://cpnsdelasflores.educarex.es,Mañana,No
93,C.E.I.P. Ntra. Sra. De Guadalupe,6001543,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.37856,-6.58840,4,"Avda. Del Pensionista, 10",06370,Burguillos del Cerro,Badajoz,924029996,924029997,cp.ntrasradeguadalupeburgui@edu.juntaex.es,https://cpnsguadalupebur.educarex.es,Mañana,No
94,C.E.I.P. Muñoz Torrero,6011688,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.71855,-5.22542,3,Plaza de la Magdalena S/N,06600,Cabeza del Buey,Badajoz,924019714,924019715,cp.munoztorrero@edu.juntaex.es,https://cpmunoztorrero.educarex.es,Mañana,No
95,C.E.I.P. María Inmaculada,6001658,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.08538,-6.42451,4,"Entrecaminos, S / N",06293,Cabeza la Vaca,Badajoz,924023612,924023613,cp.mariainmaculada@edu.juntaex.es,https://cpminmaculada.educarex.es,Mañana,No
96,C.E.I.P. San José,6001661,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.88480,-6.38340,2,Cervantes s/n,06810,Calamonte,Badajoz,924009970,924009971,cp.sanjosecalamo@edu.juntaex.es,https://cpsanjosecala.educarex.es,Mañana,No
97,C.E.I.P. Ntra. Sra. De Tentudía,6001671,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.10546,-6.33387,4,"Calle San Marcos, 26",06292,Calera de León,Badajoz,924023646,924023647,cp.ntrasradetentudia@edu.juntaex.e,https://cpnsdetentudia.educarex.es,Mañana,No
98,C.E.I.P. Ntra. Sra. De la Encarnación,6001683,Centro Público,Educación Infantil y Primaria,Infantil / Primaria,38.30321,-6.31245,4,"El Barrio, 79",06249,Calzadilla de los Barros,Badajoz,924023604,924023605,cp.ntrasradelaencarnacion@edu.juntaex.es,https://cpnsencarnacion.educarex.es,Mañana,No
